id,animal_type,category,user_input,severity,vet_response,possible_diagnosis,recommended_treatment
46,general,vaccination,"When should my pet get vaccinated?",low,"Puppies/kittens start vaccines at 6-8 weeks. Adult pets need annual boosters. Ask your vet for a personalized schedule.","N/A","Consult vet for schedule"
47,dog,vaccination,"What vaccines does my dog need?",low,"Core vaccines for dogs: Rabies, Distemper, Parvovirus, Hepatitis. Non-core: Bordetella, Leptospirosis. Your vet will advise based on lifestyle.","N/A","Consult vet"
48,general,vaccination,"Is my pet due for vaccination?",low,"Check your pet's vaccination card or ask your vet. Generally, vaccines are given annually or every 3 years depending on type.","N/A","Vet consultation"
49,general,vaccination,"How often should I deworm my pet?",low,"Puppies/kittens: every 2-4 weeks until 12 weeks, then monthly until 6 months. Adults: every 3-6 months.","N/A","Deworming medication"
50,cat,vaccination,"Do indoor cats need vaccines?",low,"Yes! Indoor cats still need core vaccines (Rabies, FVRCP). They can be exposed through windows, visitors, or escaped moments.","N/A","Core vaccine series"
51,dog,nutrition,"What should I feed my dog?",low,"Feed age-appropriate commercial dog food. Puppies need puppy formula, adults need adult food. Avoid table scraps and toxic foods.","N/A","Quality commercial diet"
52,cat,nutrition,"Can my cat eat human food?",low,"Most human food is not suitable for cats. Avoid onions, garlic, chocolate, grapes, and dairy. Plain cooked chicken or fish is okay in small amounts.","N/A","Cat-appropriate diet"
53,dog,nutrition,"Is chocolate dangerous for dogs?",high,"YES. Chocolate is TOXIC to dogs. Dark chocolate is most dangerous. If ingested, go to the vet IMMEDIATELY. Do not wait for symptoms.","Chocolate toxicity","Induced vomiting, activated charcoal, emergency care"
54,bird,nutrition,"What food is safe for birds?",low,"Safe foods: seeds, pellets, fruits (apple, banana), vegetables (carrot, broccoli). Avoid avocado, chocolate, caffeine, and alcohol.","N/A","Balanced pellet-based diet"
55,general,nutrition,"How often should I feed my pet?",low,"Puppies: 3-4 times/day. Adult dogs: 2 times/day. Kittens: 3-4 times/day. Adult cats: 2 times/day. Always provide fresh water.","N/A","Regular feeding schedule"
56,general,reproduction,"Is my dog pregnant?",medium,"Signs of pregnancy: enlarged belly, increased appetite, nesting behavior. A vet can confirm via ultrasound after 25 days.","Possible pregnancy","Vet ultrasound confirmation"
57,general,reproduction,"How long is pet pregnancy?",low,"Dogs: approximately 63 days (9 weeks). Cats: approximately 63-65 days. Rabbits: 28-33 days.","N/A","Prenatal vet care"
58,general,reproduction,"My pet is in heat, what should I do?",medium,"Keep your pet indoors and away from other animals. Use pet diapers if needed. Consider spaying/neutering to prevent unwanted pregnancies.","Normal reproductive cycle","Spaying/neutering consultation"
59,general,reproduction,"When should I spay or neuter my pet?",low,"Generally recommended at 6 months of age. Discuss timing with your vet based on breed and health status.","N/A","Vet consultation for surgery schedule"
60,general,clinic,"Can I reschedule my appointment?",low,"Yes! Log in to your VetSync account, go to Dashboard, and click 'Manage Appointments' to reschedule or cancel.","N/A","Use dashboard"
61,general,clinic,"How much is a consultation?",low,"Consultation fees vary by service. Please contact our clinic at (02) 8123-4567 or check the booking page for current pricing.","N/A","Call clinic or check website"
62,general,clinic,"Is the clinic open today?",low,"VetSync Clinic is open Monday-Saturday, 8:00 AM - 6:00 PM. Closed on Sundays and holidays. For emergencies: (02) 8123-4567.","N/A","Check schedule"
63,general,medication,"What medicine can I give my dog?",medium,"NEVER give human medication to pets without vet approval. Paracetamol and ibuprofen are TOXIC to pets. Always consult your vet first.","N/A","Vet-prescribed medication only"
64,general,medication,"Can I give human medicine to pets?",high,"NO. Most human medications are dangerous or fatal to pets. Paracetamol, ibuprofen, and aspirin can be toxic. Always consult your vet.","Potential poisoning","Emergency vet if already given"
65,general,medication,"How do I treat wounds at home?",medium,"For minor wounds: clean with saline or clean water, apply pet-safe antiseptic, and bandage loosely. For deep wounds, see vet immediately.","Minor wound","Cleaning, antiseptic, vet for serious wounds"
66,general,medication,"What should I do for infections?",medium,"Signs of infection: redness, swelling, discharge, warmth, or bad smell. Do not self-treat with antibiotics. Visit your vet for proper diagnosis.","Possible infection","Vet-prescribed antibiotics"
67,general,medication,"Is this medication safe for my pet?",medium,"Always verify medications with your vet. Even 'pet-safe' medications can have wrong dosages. When in doubt, call your vet.","N/A","Vet consultation"
68,dog,emergency,"My dog can't stand up suddenly",critical,"This could indicate spinal injury, poisoning, or severe weakness. Do not force movement. Support with a towel sling and rush to vet.","Spinal injury or poisoning","Emergency stabilization, imaging"
69,fish,behavior,"My fish flips upside down",medium,"Upside-down swimming is a classic sign of swim bladder disease. Fast the fish for 24-48 hours, then feed peeled peas. Check water quality.","Swim bladder disorder","Diet change, water treatment"
70,general,weight,"My pet is losing weight",medium,"Unexplained weight loss can indicate parasites, diabetes, kidney disease, or cancer. Monitor food intake and see vet for tests.","Various possible causes","Blood work, vet exam"
